Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Light Gradient Boosting Machine,0.7945,0.8476,0.6786,0.7604,0.7146,0.5555,0.5596,0.3967
Gradient Boosting Classifier,0.7763,0.8328,0.7262,0.6998,0.711,0.5288,0.5308,0.0267
Logistic Regression,0.7854,0.8508,0.6905,0.7396,0.7089,0.5401,0.546,0.6633
Ridge Classifier,0.7763,0.8587,0.7024,0.71,0.7001,0.5227,0.5291,0.0167
Linear Discriminant Analysis,0.7763,0.8585,0.7024,0.71,0.7001,0.5227,0.5291,0.0167
Random Forest Classifier,0.7717,0.8242,0.6905,0.7066,0.6961,0.5138,0.5158,0.4067
Naive Bayes,0.7489,0.7944,0.7262,0.6578,0.6889,0.4795,0.4827,0.0133
Ada Boost Classifier,0.7671,0.7989,0.6667,0.7099,0.6867,0.5019,0.5032,0.0267
SVM - Linear Kernel,0.7671,0.7966,0.6429,0.7308,0.6814,0.4989,0.5039,0.0167
Quadratic Discriminant Analysis,0.758,0.7897,0.6786,0.6948,0.681,0.487,0.492,0.0133
Decision Tree Classifier,0.726,0.7216,0.7024,0.6274,0.6627,0.4332,0.4353,0.38
Extra Trees Classifier,0.7534,0.7816,0.6429,0.6989,0.6622,0.4702,0.4769,0.04
K Neighbors Classifier,0.7443,0.7929,0.6429,0.6756,0.6573,0.4539,0.4556,0.4167
Dummy Classifier,0.6164,0.5,0.0,0.0,0.0,0.0,0.0,0.0167
